============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed= 0  round_robin             rate=0.269  reward=0.171
    seed= 0  random                  rate=0.273  reward=0.174
    seed= 0  wiql_ucb                rate=0.277  reward=0.176
    seed= 0  wiql_ucb_no_bias        rate=0.364  reward=0.232
    seed= 1  round_robin             rate=0.257  reward=0.187
    seed= 1  random                  rate=0.247  reward=0.180
    seed= 1  wiql_ucb                rate=0.192  reward=0.140
    seed= 1  wiql_ucb_no_bias        rate=0.489  reward=0.358
    seed= 2  round_robin             rate=0.321  reward=0.175
    seed= 2  random                  rate=0.326  reward=0.178
    seed= 2  wiql_ucb                rate=0.409  reward=0.223
    seed= 2  wiql_ucb_no_bias        rate=0.564  reward=0.308
    seed= 3  round_robin             rate=0.328  reward=0.112
    seed= 3  random                  rate=0.329  reward=0.113
    seed= 3  wiql_ucb                rate=0.526  reward=0.180
    seed= 3  wiql_ucb_no_bias        rate=0.653  reward=0.224
    seed= 4  round_robin             rate=0.257  reward=0.178
    seed= 4  random                  rate=0.262  reward=0.182
    seed= 4  wiql_ucb                rate=0.070  reward=0.048
    seed= 4  wiql_ucb_no_bias        rate=0.363  reward=0.253
    seed= 5  round_robin             rate=0.260  reward=0.117
    seed= 5  random                  rate=0.265  reward=0.119
    seed= 5  wiql_ucb                rate=0.462  reward=0.209
    seed= 5  wiql_ucb_no_bias        rate=0.545  reward=0.247
    seed= 6  round_robin             rate=0.216  reward=0.125
    seed= 6  random                  rate=0.208  reward=0.121
    seed= 6  wiql_ucb                rate=0.066  reward=0.038
    seed= 6  wiql_ucb_no_bias        rate=0.355  reward=0.207
    seed= 7  round_robin             rate=0.319  reward=0.153
    seed= 7  random                  rate=0.316  reward=0.152
    seed= 7  wiql_ucb                rate=0.088  reward=0.041
    seed= 7  wiql_ucb_no_bias        rate=0.589  reward=0.283
    seed= 8  round_robin             rate=0.311  reward=0.170
    seed= 8  random                  rate=0.301  reward=0.165
    seed= 8  wiql_ucb                rate=0.052  reward=0.028
    seed= 8  wiql_ucb_no_bias        rate=0.613  reward=0.337
    seed= 9  round_robin             rate=0.321  reward=0.165
    seed= 9  random                  rate=0.321  reward=0.165
    seed= 9  wiql_ucb                rate=0.130  reward=0.066
    seed= 9  wiql_ucb_no_bias        rate=0.475  reward=0.244
    seed=10  round_robin             rate=0.318  reward=0.173
    seed=10  random                  rate=0.317  reward=0.173
    seed=10  wiql_ucb                rate=0.224  reward=0.122
    seed=10  wiql_ucb_no_bias        rate=0.447  reward=0.244
    seed=11  round_robin             rate=0.295  reward=0.171
    seed=11  random                  rate=0.289  reward=0.168
    seed=11  wiql_ucb                rate=0.299  reward=0.173
    seed=11  wiql_ucb_no_bias        rate=0.358  reward=0.208
    seed=12  round_robin             rate=0.347  reward=0.150
    seed=12  random                  rate=0.336  reward=0.146
    seed=12  wiql_ucb                rate=0.603  reward=0.262
    seed=12  wiql_ucb_no_bias        rate=0.563  reward=0.245
    seed=13  round_robin             rate=0.234  reward=0.056
    seed=13  random                  rate=0.239  reward=0.057
    seed=13  wiql_ucb                rate=0.244  reward=0.058
    seed=13  wiql_ucb_no_bias        rate=0.339  reward=0.081
    seed=14  round_robin             rate=0.369  reward=0.166
    seed=14  random                  rate=0.361  reward=0.162
    seed=14  wiql_ucb                rate=0.166  reward=0.074
    seed=14  wiql_ucb_no_bias        rate=0.435  reward=0.195
    seed=15  round_robin             rate=0.342  reward=0.157
    seed=15  random                  rate=0.340  reward=0.156
    seed=15  wiql_ucb                rate=0.315  reward=0.145
    seed=15  wiql_ucb_no_bias        rate=0.632  reward=0.291
    seed=16  round_robin             rate=0.230  reward=0.096
    seed=16  random                  rate=0.232  reward=0.097
    seed=16  wiql_ucb                rate=0.104  reward=0.043
    seed=16  wiql_ucb_no_bias        rate=0.215  reward=0.090
    seed=17  round_robin             rate=0.359  reward=0.132
    seed=17  random                  rate=0.363  reward=0.133
    seed=17  wiql_ucb                rate=0.683  reward=0.252
    seed=17  wiql_ucb_no_bias        rate=0.796  reward=0.293
    seed=18  round_robin             rate=0.373  reward=0.124
    seed=18  random                  rate=0.370  reward=0.123
    seed=18  wiql_ucb                rate=0.249  reward=0.083
    seed=18  wiql_ucb_no_bias        rate=0.427  reward=0.143
    seed=19  round_robin             rate=0.331  reward=0.200
    seed=19  random                  rate=0.334  reward=0.202
    seed=19  wiql_ucb                rate=0.009  reward=0.004
    seed=19  wiql_ucb_no_bias        rate=0.526  reward=0.318
    seed=20  round_robin             rate=0.236  reward=0.054
    seed=20  random                  rate=0.249  reward=0.057
    seed=20  wiql_ucb                rate=0.139  reward=0.032
    seed=20  wiql_ucb_no_bias        rate=0.406  reward=0.094
    seed=21  round_robin             rate=0.346  reward=0.188
    seed=21  random                  rate=0.346  reward=0.188
    seed=21  wiql_ucb                rate=0.374  reward=0.203
    seed=21  wiql_ucb_no_bias        rate=0.527  reward=0.287
    seed=22  round_robin             rate=0.368  reward=0.176
    seed=22  random                  rate=0.367  reward=0.176
    seed=22  wiql_ucb                rate=0.691  reward=0.332
    seed=22  wiql_ucb_no_bias        rate=0.691  reward=0.332
