seed,intercept_rate,n_steps,k_scan,n_bands
0,0.9899497487437185,2000,2,4
1,0.9949748743718593,2000,2,4
2,0.9899497487437185,2000,2,4
3,0.9897959183673469,2000,2,4
4,0.9798994974874372,2000,2,4
5,0.9543147208121827,2000,2,4
6,0.9696969696969697,2000,2,4
7,0.9846938775510204,2000,2,4
8,0.9747474747474747,2000,2,4
9,0.9545454545454546,2000,2,4
10,0.9543147208121827,2000,2,4
11,0.9848484848484849,2000,2,4
12,0.9747474747474747,2000,2,4
13,1.0,2000,2,4
14,1.0,2000,2,4
15,0.9849246231155779,2000,2,4
16,0.9693877551020408,2000,2,4
17,1.0,2000,2,4
18,0.949748743718593,2000,2,4
19,0.9595959595959596,2000,2,4
20,0.9646464646464646,2000,2,4
21,0.9593908629441624,2000,2,4
22,0.9693877551020408,2000,2,4
23,0.9547738693467337,2000,2,4
24,0.9747474747474747,2000,2,4
25,0.9848484848484849,2000,2,4
26,0.9595959595959596,2000,2,4
27,0.9949494949494949,2000,2,4
28,0.9387755102040817,2000,2,4
29,0.9747474747474747,2000,2,4
