scenario,seed,wiql_rate,rr_rate,random_rate,clarkson_rate
background,0,0.4954118873826903,0.26850886339937435,0.27288842544317,0.26850886339937435
background,1,0.4182232346241458,0.2569476082004556,0.2469248291571754,0.2569476082004556
background,2,0.7105968331303288,0.320584652862363,0.32618757612667476,0.320584652862363
background,3,0.8396828466447496,0.32778959582285827,0.3289499129762135,0.32778959582285827
background,4,0.5887752175160149,0.25681231475284444,0.26168849794435417,0.25681231475284444
background,5,0.675318961724593,0.2600087989441267,0.2645549200762575,0.2600087989441267
background,6,0.5226703121439964,0.21553884711779447,0.20767828662565505,0.21553884711779447
background,7,0.7325404508366754,0.3194578896418199,0.31627714009127367,0.3194578896418199
background,8,0.7970470773326879,0.3107830085925209,0.3008592520876195,0.3107830085925209
background,9,0.7199274893176227,0.3212482196037809,0.321377702965169,0.3212482196037809
background,10,0.45723684210526316,0.3178606237816764,0.3172514619883041,0.3178606237816764
background,11,0.7532333753004464,0.29506695662126586,0.2894586242417306,0.29506695662126586
background,12,0.835016835016835,0.3468013468013468,0.33639424548515456,0.3468013468013468
background,13,0.6070840197693574,0.23366282262493135,0.23942888522789676,0.23366282262493135
background,14,0.7213937693784143,0.36911265318175107,0.36143510999557066,0.36911265318175107
background,15,0.7580132832803927,0.34175570314755993,0.34016748483973436,0.34175570314755993
background,16,0.31014859310780907,0.22952892823269047,0.23237432816945938,0.22952892823269047
background,17,0.8971119133574007,0.35938628158844765,0.36335740072202166,0.35938628158844765
background,18,0.7008139765733572,0.37343656938653963,0.3696644828270796,0.37343656938653963
background,19,0.6978456803693119,0.33084194328423827,0.3341393712903935,0.33084194328423827
background,20,0.624680125106625,0.23599658800113732,0.24879158373613874,0.23599658800113732
background,21,0.6324483053958155,0.3462620824666585,0.34589502018842533,0.3462620824666585
background,22,0.6862609177873285,0.3675308470816581,0.36725356994315816,0.3675308470816581
background,23,0.8340089843322012,0.3657280596033746,0.3618932836638545,0.3657280596033746
background,24,0.7352596641936744,0.2996225432773656,0.312898607314851,0.2996225432773656
background,25,0.9585281561292945,0.3606424069932913,0.36104899369790605,0.3606424069932913
background,26,0.6811564059900166,0.33465058236272877,0.35981697171381033,0.33465058236272877
background,27,0.3369792504423355,0.14572945150394082,0.14701624577770628,0.14572945150394082
background,28,0.7618142958917122,0.2825932082640703,0.29232961291854664,0.2825932082640703
background,29,0.9020450249183709,0.33648393194706994,0.3521223577934353,0.33648393194706994
periodic,0,0.4797066014669927,0.24449877750611246,0.25012224938875305,0.2419315403422983
periodic,1,0.45531657073614057,0.21993335352923357,0.21947894577400787,0.22523477734019995
periodic,2,0.6076968973747017,0.3204057279236277,0.3244331742243437,0.3169749403341289
periodic,3,0.8277385159010601,0.3215547703180212,0.31802120141342755,0.31029151943462896
periodic,4,0.5818551117129316,0.25673662830060934,0.25565335138794854,0.24834123222748816
periodic,5,0.7387651686891585,0.2820376050140019,0.283904520602747,0.2785704760634751
periodic,6,0.7589421935921342,0.32208848957450414,0.31632480081369724,0.32191896931683334
periodic,7,0.7018927444794952,0.3374079915878023,0.33648790746582546,0.3301787592008412
periodic,8,0.8360847333820307,0.32154857560262967,0.32490869247626003,0.32213294375456536
periodic,9,0.6938373048479869,0.324075595727198,0.3201314708299096,0.33837304847986854
periodic,10,0.7717001714196665,0.36356552906342526,0.365435561788998,0.3659030699703911
periodic,11,0.8461685093404498,0.3394967594357606,0.3240564239420511,0.33149065955013346
periodic,12,0.820779712339137,0.3241862225586677,0.3300529901589705,0.3366767600302801
periodic,13,0.649624765478424,0.2401500938086304,0.23686679174484052,0.2403846153846154
periodic,14,0.8461739699149771,0.3666448659254415,0.3649444081098757,0.3615434924787443
periodic,15,0.7709796672828096,0.355637707948244,0.3528650646950092,0.355822550831793
periodic,16,0.5643318430203677,0.32985593641331346,0.34451068057625434,0.3323397913561848
periodic,17,0.6699526066350711,0.36549763033175353,0.37156398104265403,0.36227488151658765
periodic,18,0.5589022757697456,0.3485051316376618,0.358545292280232,0.34872824631860777
periodic,19,0.5723579586525951,0.2992626861356079,0.29882897209773024,0.2889981205725025
periodic,20,0.5756569012382966,0.21745696164300815,0.21443672606463304,0.22047719722138326
periodic,21,0.8777061262091203,0.35271764163979735,0.35225702441271306,0.36158452326116997
periodic,22,0.6609381603042682,0.35666995351457953,0.3513170869136498,0.35568389914072407
periodic,23,0.7208164642375169,0.34800944669365724,0.3468286099865047,0.3567813765182186
periodic,24,0.7435267435267435,0.336042336042336,0.3453033453033453,0.3405783405783406
periodic,25,0.9445764053840063,0.34494589601477965,0.35919767748746373,0.3533913961467406
periodic,26,0.5928623452294246,0.3486890021849964,0.35542607428987616,0.3579752367079388
periodic,27,0.7384898710865562,0.3275453827940016,0.32359905288082086,0.31465403841094447
periodic,28,0.7402457426169433,0.2966156499245527,0.28885535675792195,0.2830351368829489
periodic,29,0.9194615021256495,0.3535663675011809,0.36136041568256966,0.33278223901747755
freq_agile,0,0.4602803738317757,0.3011515353805073,0.29914886515353806,0.3011515353805073
freq_agile,1,0.4490305902628178,0.24859974149073674,0.25118483412322273,0.24859974149073674
freq_agile,2,0.3769101595298069,0.3428211586901763,0.33921074727120065,0.3428211586901763
freq_agile,3,0.3751286609899878,0.32544212594741273,0.32422569476934593,0.32544212594741273
freq_agile,4,0.4579986771236889,0.37267315506000187,0.3722951903996976,0.37267315506000187
freq_agile,5,0.5433300876338851,0.3198636806231743,0.3158876987990912,0.3198636806231743
freq_agile,6,0.4807277501641189,0.2820969708337241,0.2900684610334803,0.2820969708337241
freq_agile,7,0.5524296675191815,0.34312350466133157,0.3404834584605231,0.34312350466133157
freq_agile,8,0.42587601078167114,0.32431962438048867,0.32345013477088946,0.32431962438048867
freq_agile,9,0.5500043444261014,0.32557129203232255,0.33104526891997565,0.32557129203232255
freq_agile,10,0.59775390625,0.315625,0.3166015625,0.315625
freq_agile,11,0.2457261267484027,0.30322914867898465,0.3059057157658436,0.30322914867898465
freq_agile,12,0.6018398067273741,0.3307935328005947,0.3349749117264449,0.3307935328005947
freq_agile,13,0.37051496560699015,0.2833240379252649,0.274214538018219,0.2833240379252649
freq_agile,14,0.5547671478672213,0.3326808580050567,0.3252589511459098,0.3326808580050567
freq_agile,15,0.45615216293553273,0.26645345901363404,0.27394378050833196,0.26645345901363404
freq_agile,16,0.42994241842610365,0.3144762097181533,0.3152843721588039,0.3144762097181533
freq_agile,17,0.5519081208175077,0.3549466449629228,0.3634472779887864,0.3549466449629228
freq_agile,18,0.5688167625308135,0.3625718981101068,0.36822103533278555,0.3625718981101068
freq_agile,19,0.620253164556962,0.32689148710020294,0.3295970625181177,0.32689148710020294
freq_agile,20,0.3427263479145473,0.20142421159715157,0.20244150559511698,0.20142421159715157
freq_agile,21,0.4367489622023159,0.31439807734323794,0.3116306168523778,0.31439807734323794
freq_agile,22,0.522823877287008,0.3371835150619109,0.3380151543152837,0.3371835150619109
freq_agile,23,0.5046411403944969,0.33872037129123156,0.33930051384054366,0.33872037129123156
freq_agile,24,0.6089415279556125,0.32106274007682456,0.3207426376440461,0.32106274007682456
