gamma,seed,intercept_rate
0.0,0,0.3773838630806846
0.0,1,0.39139654650106026
0.0,2,0.4076670644391408
0.0,3,0.40503533568904593
0.0,4,0.45673662830060935
0.0,5,0.4612615015335378
0.0,6,0.5392439396507883
0.0,7,0.49907991587802314
0.0,8,0.5608473338203068
0.0,9,0.4695152013147083
0.0,10,0.5301542776998598
0.0,11,0.614944719786504
0.0,12,0.5501514004542014
0.0,13,0.3698405253283302
0.0,14,0.45297580117724
0.0,15,0.5179297597042514
0.0,16,0.4217585692995529
0.0,17,0.5791469194312796
0.0,18,0.48750557786702364
0.0,19,0.4898077201098742
0.0,20,0.3222591362126246
0.0,21,0.5229157070474436
0.0,22,0.5107761656571348
0.0,23,0.45799595141700405
0.0,24,0.5322245322245323
0.0,25,0.5473739773027184
0.0,26,0.4903495994173343
0.0,27,0.4588266245724809
0.0,28,0.4291873248544945
0.0,29,0.5436939064714218
0.5,0,0.363080684596577
0.5,1,0.4316873674644047
0.5,2,0.5337112171837709
0.5,3,0.45229681978798586
0.5,4,0.5745429925524712
0.5,5,0.5792772369649286
0.5,6,0.6865570435667062
0.5,7,0.5458727655099895
0.5,8,0.6777209642074506
0.5,9,0.6433853738701726
0.5,10,0.5737883746298894
0.5,11,0.6826153259626382
0.5,12,0.6837623012869039
0.5,13,0.5722326454033771
0.5,14,0.636102027468934
0.5,15,0.5414048059149723
0.5,16,0.6157476403378043
0.5,17,0.6709004739336493
0.5,18,0.5042391789379741
0.5,19,0.546624259071852
0.5,20,0.573542736333434
0.5,21,0.5929295255642562
0.5,22,0.5972672207353148
0.5,23,0.5718623481781376
0.5,24,0.6125496125496126
0.5,25,0.6880443388756928
0.5,26,0.5830298616168973
0.5,27,0.5706393054459353
0.5,28,0.7120068980383704
0.5,29,0.915918752952291
1.0,0,0.41919315403422985
1.0,1,0.4215389275976977
1.0,2,0.5369928400954654
1.0,3,0.5962897526501767
1.0,4,0.551252538930264
1.0,5,0.5784771302840379
1.0,6,0.7126631632480082
1.0,7,0.5479758149316509
1.0,8,0.6914536157779401
1.0,9,0.7927691043549713
1.0,10,0.7366370578151784
1.0,11,0.6883339687380862
1.0,12,0.674110522331567
1.0,13,0.651031894934334
1.0,14,0.6205362982341399
1.0,15,0.6079482439926063
1.0,16,0.6356184798807749
1.0,17,0.6709004739336493
1.0,18,0.535921463632307
1.0,19,0.6515830562382536
1.0,20,0.5771670190274841
1.0,21,0.5695532012897282
1.0,22,0.5802225665586702
1.0,23,0.5993589743589743
1.0,24,0.6828576828576829
1.0,25,0.6967537608867775
1.0,26,0.6134377276037873
1.0,27,0.6429886871875822
1.0,28,0.7378745419271394
1.0,29,0.9166273027869627
2.0,0,0.4798288508557457
2.0,1,0.5080278703423206
2.0,2,0.6618436754176611
2.0,3,0.8248674911660777
2.0,4,0.5417738659444821
2.0,5,0.7382317642352314
2.0,6,0.7570774707577556
2.0,7,0.5269453207150369
2.0,8,0.835500365230095
2.0,9,0.7045193097781429
2.0,10,0.6557581424341593
2.0,11,0.8454060236370569
2.0,12,0.6901968205904617
2.0,13,0.650328330206379
2.0,14,0.844865925441465
2.0,15,0.8390018484288355
2.0,16,0.565076999503229
2.0,17,0.6707109004739337
2.0,18,0.5589022757697456
2.0,19,0.6314876391499205
2.0,20,0.5753548776804591
2.0,21,0.8755181943804698
2.0,22,0.5795182420059163
2.0,23,0.5617408906882592
2.0,24,0.6694386694386695
2.0,25,0.9429928741092637
2.0,26,0.570830298616169
2.0,27,0.7408576690344646
2.0,28,0.7387367967234317
2.0,29,0.915682569674067
5.0,0,0.4797066014669927
5.0,1,0.45531657073614057
5.0,2,0.6076968973747017
5.0,3,0.8277385159010601
5.0,4,0.5818551117129316
5.0,5,0.7387651686891585
5.0,6,0.7589421935921342
5.0,7,0.7018927444794952
5.0,8,0.8360847333820307
5.0,9,0.6938373048479869
5.0,10,0.7717001714196665
5.0,11,0.8461685093404498
5.0,12,0.820779712339137
5.0,13,0.649624765478424
5.0,14,0.8461739699149771
5.0,15,0.7709796672828096
5.0,16,0.5643318430203677
5.0,17,0.6699526066350711
5.0,18,0.5589022757697456
5.0,19,0.5723579586525951
5.0,20,0.5756569012382966
5.0,21,0.8777061262091203
5.0,22,0.6609381603042682
5.0,23,0.7208164642375169
5.0,24,0.7435267435267435
5.0,25,0.9445764053840063
5.0,26,0.5928623452294246
5.0,27,0.7384898710865562
5.0,28,0.7402457426169433
5.0,29,0.9194615021256495
10.0,0,0.4797066014669927
10.0,1,0.49333535292335656
10.0,2,0.5994928400954654
10.0,3,0.8089664310954063
10.0,4,0.5818551117129316
10.0,5,0.7390318709161221
10.0,6,0.7589421935921342
10.0,7,0.7020241850683491
10.0,8,0.8362308254200146
10.0,9,0.7962202136400987
10.0,10,0.7204301075268817
10.0,11,0.8459778879146016
10.0,12,0.8198334595003784
10.0,13,0.649624765478424
10.0,14,0.8461739699149771
10.0,15,0.823290203327172
10.0,16,0.5643318430203677
10.0,17,0.9529857819905213
10.0,18,0.5261044176706827
10.0,19,0.6878704640740205
10.0,20,0.5756569012382966
10.0,21,0.8783970520497466
10.0,22,0.6606564304831667
10.0,23,0.7208164642375169
10.0,24,0.7433377433377434
10.0,25,0.9445764053840063
10.0,26,0.5083758193736344
10.0,27,0.7379636937647988
10.0,28,0.7402457426169433
10.0,29,0.9189891355692017
