snr_threshold_db,seed,pd
-5,0,0.9882
-5,1,0.9955142050174448
-5,2,0.9981680787726128
-5,3,0.9990886998784934
-5,4,0.9940232240437158
-5,5,0.996299722479186
-5,6,0.9944679466319557
-5,7,0.9973890339425587
-5,8,0.9974141984015045
-5,9,0.99723429474516
-5,10,0.9990496555001188
-5,11,0.9957830170596128
-5,12,0.9979030144167759
-5,13,0.9895506792058516
-5,14,0.9992177314211212
-5,15,0.9990094105993066
-5,16,0.9960715844609341
-5,17,0.9996764801035264
-5,18,0.9990950226244344
-5,19,0.9987876338654273
-5,20,0.9876390605686032
-5,21,0.9993499458288191
-5,22,1.0
-5,23,0.9994273716358084
-5,24,0.9970495258166491
-5,25,0.9992950299612267
-5,26,0.9988156336360048
-5,27,0.9777047641398733
-5,28,0.996166746526114
-5,29,0.9991256193529583
-3,0,0.9786
-3,1,0.9906961289250706
-3,2,0.9963361575452255
-3,3,0.9981773997569866
-3,4,0.9866803278688525
-3,5,0.992291088498304
-3,6,0.9886104783599089
-3,7,0.9941978532056861
-3,8,0.9934179595674659
-3,9,0.9938759383642829
-3,10,0.9978617248752673
-3,11,0.9915660341192256
-3,12,0.9963302752293578
-3,13,0.9811912225705329
-3,14,0.9989569752281616
-3,15,0.9985141158989599
-3,16,0.99257965953732
-3,17,0.9980588806211582
-3,18,0.9990950226244344
-3,19,0.9969690846635684
-3,20,0.9820766378244746
-3,21,0.9984832069339111
-3,22,0.9994516040581299
-3,23,0.999045619393014
-3,24,0.9947312961011591
-3,25,0.9985900599224533
-3,26,0.9980260560600079
-3,27,0.9601032621450364
-3,28,0.9923334930522281
-3,29,0.9982512387059166
-1,0,0.9584
-1,1,0.9827213822894169
-1,2,0.9945042363178384
-1,3,0.9963547995139733
-1,4,0.9786543715846995
-1,5,0.9855072463768116
-1,6,0.9768955418158152
-1,7,0.9889759210908036
-1,8,0.9894217207334274
-1,9,0.9885420782299487
-1,10,0.9950106913756237
-1,11,0.9842821544949204
-1,12,0.9937090432503276
-1,13,0.9665621734587252
-1,14,0.996870925684485
-1,15,0.995789995047053
-1,16,0.9873417721518988
-1,17,0.9970883209317373
-1,18,0.9986425339366516
-1,19,0.9941402303495656
-1,20,0.965389369592089
-1,21,0.9965330444203684
-1,22,0.9994516040581299
-1,23,0.9977094865432334
-1,24,0.9907270811380401
-1,25,0.99788508988368
-1,26,0.9960521121200158
-1,27,0.9295939920206524
-1,28,0.985146142788692
-1,29,0.9965024774118333
1,0,0.9274
1,1,0.9672703106828376
1,2,0.9874055415617129
1,3,0.9930133657351154
1,4,0.9598702185792349
1,5,0.973172987974098
1,6,0.9599739668076798
1,7,0.979982593559617
1,8,0.9818993888105313
1,9,0.9792572105887001
1,10,0.9900213827512473
1,11,0.9725896108874832
1,12,0.9874180865006553
1,13,0.9388714733542319
1,14,0.9942633637548892
1,15,0.9905894006934126
1,16,0.9733740724574421
1,17,0.9938531219670009
1,18,0.9972850678733032
1,19,0.9886845827439887
1,20,0.9449938195302843
1,21,0.9932827735644637
1,22,0.99890320811626
1,23,0.9958007253292613
1,24,0.9829293993677556
1,25,0.9954176947479733
1,26,0.9932885906040269
