snr_threshold_db,pd_mean,pd_ci_lo,pd_ci_hi,pd_worst,N
-5,0.9962,0.9944,0.9977,0.9777,30
-3,0.9928,0.9896,0.9955,0.9601,30
-1,0.9868,0.9809,0.9916,0.9296,30
1,0.9759,0.9655,0.9843,0.8709,30
3,0.9568,0.9395,0.9709,0.7864,30
5,0.9277,0.9016,0.9496,0.666,30
7,0.8865,0.8511,0.9175,0.5412,30
9,0.8314,0.7871,0.8703,0.4074,30
11,0.7626,0.7126,0.8077,0.3046,30
13,0.6806,0.6276,0.7286,0.2326,30
15,0.5877,0.5342,0.6363,0.1807,30
17,0.4874,0.4357,0.534,0.1493,30
19,0.3839,0.3377,0.4278,0.122,30
21,0.2854,0.2477,0.3229,0.1,30
