seed,intercept_rate,converged,period_ok,mu_est,T_true_slots,conv_step,early_scans_pb,pmod_updates,periodic_band
0,0.9604863221884499,True,False,1387.675,5.03,,24,358,0
1,0.25227151256012825,False,False,978.458,5.03,,22,507,4
2,0.9226475279106858,True,False,416.25,5.03,,46,1201,3
3,0.7899361022364217,True,False,487.305,5.03,,36,1025,5
4,0.9697885196374623,True,False,1379.609,5.03,,21,359,3
5,0.0,False,False,,5.03,,0,0,5
6,0.9617875647668394,True,False,326.85,5.03,,41,1528,4
7,0.0,False,False,,5.03,,0,0,5
8,0.9690721649484536,True,False,274.546,5.03,,42,1820,3
9,0.0,False,False,,5.03,,0,0,7
10,0.9759036144578314,True,False,1304.188,5.03,,26,383,2
11,0.0,False,False,,5.03,,0,0,7
12,0.8554216867469879,True,False,1506.667,5.03,,31,331,1
13,0.12168141592920353,False,False,927.602,5.03,,0,222,7
14,0.7025895893277531,True,False,132.937,5.03,,0,2694,6
15,0.9819819819819819,True,False,1368.595,5.03,,25,364,1
16,0.8851963746223565,True,False,1452.353,5.03,,24,341,0
17,0.8419452887537994,True,False,1587.58,5.03,,22,315,3
18,0.1276595744680851,False,False,2461.702,5.03,,0,48,6
19,0.719559585492228,True,False,434.0,5.03,,43,1151,4
20,0.43333333333333335,True,False,1545.963,5.03,,0,162,6
21,0.9179331306990881,True,False,1444.282,5.03,,20,342,3
22,0.8433734939759037,True,False,1493.333,5.03,,24,331,1
23,0.9758713136729222,True,False,649.804,5.03,,39,768,0
24,0.35843373493975905,False,False,1352.174,5.03,,0,139,4
25,0.9274924471299094,True,False,1423.41,5.03,,21,347,3
26,0.9266932270916335,True,False,415.404,5.03,,39,1202,2
27,0.9427710843373494,True,False,1394.663,5.03,,24,357,4
28,0.0,False,False,,5.03,,0,0,7
29,0.9879154078549849,True,False,1377.562,5.03,,29,362,3
