snr_threshold_db,pd_mean,pd_ci_lo,pd_ci_hi,pd_worst
-5,0.9960331202581496,0.9944187456891996,0.9972974463783022,0.9792074363992173
-3,0.993393634426533,0.9903425039422805,0.9957153090639959,0.9579493087557603
-1,0.9864911024000097,0.9814560159357406,0.9910290434453111,0.9385407205570694
1,0.9147981464214664,0.8149101272921341,0.9840981860913272,0.0
3,0.9022748875327105,0.8021591241371508,0.9737300082814386,0.0
5,0.930321012597023,0.8994140400998308,0.954314403851495,0.600748416810593
7,0.890991494862512,0.8485172660308573,0.9256744092871252,0.42706645056726095
9,0.8197218276237284,0.7421200449729656,0.883314906294756,0.0
11,0.7524297742020197,0.6598189728789781,0.8313028307832959,0.0
13,0.6537429966382542,0.5349711936258208,0.7617132224369133,0.0
15,0.6044820489737894,0.49820244892285664,0.6996350876223234,0.0
17,0.467481742956007,0.36034132182076173,0.5702190261561371,0.0
19,0.3894001809149861,0.3198376253648759,0.4602436988093867,0.023843315356230486
21,0.2882499310302415,0.22406663334819105,0.3540234179194483,0.010786261708770934
